Rating,Company,Average,Lowest,Highest,yr/mo/hr
3.8,Kroll,901967,"10,86,699","11,68,218",/yr
3.8,Hasbro,303950,"3,66,133","3,93,743",/yr
3.8,Dassault Systemes,808684,"9,69,875","10,51,834",/yr
3.8,Crowe,1351425,"16,21,086","17,57,477",/yr
3.8,Biocon,418455,"5,00,661","5,45,477",/yr
3.8,ATPCO,1776939,"21,20,483","23,21,864",/yr
3.8,Dhwaniris,412785,"4,95,053","5,36,910",/yr
3.8,RAJA Group,1693486,"20,31,214","22,02,500",/yr
3.8,TIBCO Software,887537,"10,61,628","11,57,214",/yr
3.8,Valiance Partners,1416834,"16,93,868","18,48,216",/yr
3.8,Citicorp Services India,892958,"10,74,212","11,58,182",/yr
3.8,Aadi,409016,"4,95,456","5,27,084",/yr
3.8,TetraSoft,845082,"10,15,749","10,96,956",/yr
3.8,Abhijeet Group,417720,"5,04,757","5,39,542",/yr
3.8,Viajes,683593,"8,17,943","8,91,040",/yr
3.8,GyanSys,1509482,"18,21,829","19,51,877",/yr
3.8,Sharekhan,1053880,"12,73,055","13,61,646",/yr
3.8,Pegasystems,997041,"11,92,906","12,99,697",/yr
3.8,D-Mart,240345,"2,88,479","3,12,383",/yr
3.8,Torrent Pharmaceuticals,320507,"3,84,872","4,16,396",/yr
3.8,RMS,212952,"2,54,902","2,77,478",/yr
3.8,None Such Farm,25815,"30,717","33,821",/yr
3.8,CareerNet Consulting,1957559,"23,42,443","25,51,454",/yr
3.8,Natwest,2270203,"27,22,276","29,53,232",/yr
3.8,NIIT,583642,"6,96,737","7,62,369",/yr
3.8,Quintessence Business Solutions & Services,246865,"2,97,452","3,19,710",/yr
3.8,Planit,626117,"7,58,219","8,07,073",/yr
3.8,Wingify,1555325,"18,54,297","20,34,016",/yr
3.8,IDS Infotech Limited,712970,"8,55,500","9,26,924",/yr
3.8,Not Listed,935173,"11,19,981","12,17,952",/yr
3.8,Unknowns,247122,"2,96,921","3,20,884",/yr
3.8,Danske Bank,1211651,"14,55,936","15,73,191",/yr
3.8,PIMCO,1064758,"12,65,886","13,96,008",/yr
3.8,Signify,835968,"10,05,536","10,84,384",/yr
3.8,Veracitiz Solution,334179,"4,01,138","4,34,310",/yr
3.8,Lubna,858962,"10,28,628","11,18,777",/yr
3.8,Aakash Educational Services,44695,"53,595","58,143",/yr
3.8,Vaidik Eduservices,28372,"34,127","36,804",/yr
3.8,Speridian Technologies,73334,"87,896","95,440",/yr
3.8,Sri Chaitanya Educational Institutions,33632,"40,515","43,565",/yr
3.8,Techno India Group,32315,"38,683","42,104",/yr
3.8,Aditya Birla Sun Life Insurance,12042,"14,385","15,720",/yr
3.8,Gokul Refoils & Solvant,16163,"19,340","21,067",/yr
3.8,Anand Engineering Products,7272,"8,728","9,452",/yr
3.8,Harrods,25164,"30,165","32,745",/yr
3.8,Aon,20742,"24,958","26,897",/yr
3.8,IBMC College,43130,"51,874","55,950",/yr
3.8,ICAT,33216,"39,920","43,121",/yr
3.8,Hospital Sisters Health System,20384,"24,558","26,403",/yr
3.8,Excell,24180,"29,008","31,442",/yr
3.8,XYZ Pvt LTD,51777,"62,116","67,327",/yr
3.8,Tamil Nadu Health Systems Project (TNHSP),8859,"10,687","11,460",/yr
3.8,Houlihan Lokey,79845,"96,601","1,03,012",/yr
3.8,Nithin,481325,"5,77,914","6,25,398",/yr
3.8,LCC International,18722,"22,435","24,370",/yr
3.8,Soochow University,857218,"10,34,999","11,08,045",/yr
3.8,Euro Exim Bank,37265,"44,348","48,814",/yr
3.8,Supermarket Grocery Supplies,9755,"11,704","12,684",/yr
3.8,Nimoy.ai,6510,"7,829","8,447",/yr
3.8,Egencia,1228695,"14,71,129","16,00,608",/yr
3.8,Wipro,8882,"10,578","11,627",/yr
3.8,DataScientest,337432,"4,03,588","4,39,991",/yr
3.8,INSOFE,391942,"4,66,466","5,13,389",/yr
3.8,Verzeo,12522,"14,909","16,395",/yr
3.8,Axtria,39872,"47,581","52,098",/yr
3.8,Eightfold,143982,"1,71,911","1,88,044",/yr
3.8,XYZ,80,97,104,/yr
3.8,Impact Analytics,21322,"25,673","27,631",/yr
3.8,Not Applicable,4228,"5,055","5,514",/yr
3.8,Blinkit,41920,"50,353","54,448",/yr
3.8,Bharati Vidyapeeth’s College of Engineering,77597,"93,076","1,00,916",/yr
3.8,NEC Corporation India,605186,"7,28,397","7,84,569",/yr
3.8,Tata Institute of Social Sciences,583646,"7,01,096","7,58,020",/yr
3.8,Verzeo,77813,"92,958","1,01,574",/yr
3.8,XYZ,80902,"97,091","1,05,165",/yr
3.8,CGI,351662,"4,18,493","4,60,662",/yr
3.8,Perpule,1071256,"12,95,406","13,82,735",/yr
3.8,Samsung Electronics,106136,"1,28,025","1,37,315",/yr
3.8,Mahindra Finance,427603,"5,13,829","5,55,179",/yr
3.8,HDFC Ergo,256126,"3,06,734","3,33,581",/yr
3.8,no/one,252016,"3,01,596","3,28,443",/yr
3.8,IDC (International Data Corporation),373069,"4,46,475","4,86,197",/yr
3.8,Reliance Industries,792318,"9,48,641","10,32,154",/yr
3.8,Axtria,835429,"10,05,381","10,83,192",/yr
3.8,Not Applicable,1522412,"18,28,343","19,77,686",/yr
3.8,Ecom Express,20065,"15,097","35,065",/yr
3.8,Impact Analytics,1125318,"9,75,628","18,37,667",/yr
3.8,Anheuser-Busch InBev,2774293,"20,23,536","49,12,197",/yr
3.8,Anheuser-Busch InBev,1118689,"9,54,649","18,42,074",/yr
3.8,Lupin,624008,"3,60,000","12,00,019",/yr
3.8,Wipro,635609,"6,70,424","9,18,598",/yr
3.8,Biocon,297735,"2,60,212","4,84,125",/yr
3.8,Cognizant Technology Solutions,693826,"6,00,000","11,34,564",/yr
3.8,Cognizant Technology Solutions,1276266,"2,20,505","29,70,160",/yr
3.8,Amazon,2601114,"22,39,305","42,63,479",/yr
3.8,Thermo Fisher Scientific,701122,"1,55,405","15,97,400",/yr
3.8,Torrent Pharmaceuticals,466941,"3,03,272","8,64,080",/yr
3.8,Cognizant Technology Solutions,729660,"2,52,472","15,71,678",/yr
3.8,Wipro,1464828,"10,99,536","25,62,534",/yr
3.8,LTI,583510,"5,35,218","9,23,557",/yr
3.8,Nielsen,418641,"2,92,688","7,53,915",/yr
3.8,Amazon,3142374,"16,26,047","62,29,887",/yr
3.8,Capgemini,1233246,"10,83,115","20,00,000",/yr
3.8,Impact Analytics,1064812,"2,23,475","24,38,555",/yr
3.8,Flip Robo,341862,"1,05,197","7,49,458",/yr
3.8,Amazon,1080089,"2,50,000","24,50,223",/yr
3.8,Wipro,1480508,"15,57,472","21,43,797",/yr
3.8,LTI,825462,"8,63,655","12,00,000",/yr
3.8,Cornerstone OnDemand,2078346,"18,42,853","33,53,013",/yr
3.8,Thermo Fisher Scientific,4731224,"8,21,097","1,10,06,962",/yr
3.8,SG Analytics,1101139,"12,25,112","15,27,735",/yr
3.8,INSOFE,1616266,"18,93,537","21,47,127",/yr
3.8,Wolters Kluwer,1580206,"13,49,024","26,01,492",/yr
3.8,HDFC Standard Life Insurance,1913872,"16,00,000","31,84,680",/yr
3.8,Cognizant Technology Solutions,320393,"3,31,839","4,69,144",/yr
3.8,Cognizant Technology Solutions,1541852,"8,13,531","30,41,099",/yr
3.8,Bajaj Finance,2339098,"25,47,744","33,00,000",/yr
3.8,Impact Analytics,1583169,"19,30,523","20,27,400",/yr
3.8,DeepTek Medical Imaging,681674,"8,20,533","8,83,651",/yr
3.8,Torrent Pharmaceuticals,306061,"3,44,772","4,20,380",/yr
3.8,Nielsen,860068,"9,16,641","12,33,530",/yr
4.1,JarvisSoft Technology,419139,"5,05,829","5,42,019",/yr
4.1,Kiya.ai,403927,"4,88,161","5,21,657",/yr
4.1,Intas Pharmaceuticals,409204,"4,94,346","5,28,665",/yr
4.1,Acronotics,818521,"9,81,975","10,64,328",/yr
4.1,Random,794868,"9,51,060","10,36,110",/yr
4.1,Blue Shield Of California,861519,"10,36,746","11,17,051",/yr
4.1,Tetra Pak,817485,"9,76,530","10,67,182",/yr
4.1,Ford Credit,803716,"9,61,487","10,47,803",/yr
4.1,Blenheim Chalcot,880902,"10,48,795","11,53,460",/yr
4.1,Nitish Verma,853919,"10,26,119","11,08,679",/yr
4.1,Trinity Mobility,527082,"6,32,469","6,85,237",/yr
4.1,Pythonmate,504779,"6,01,772","6,60,175",/yr
4.1,Mindcurv,496402,"5,91,989","6,49,017",/yr
4.1,NetMax Technologies,464984,"5,56,793","6,05,668",/yr
4.1,SM NetServ Technologies,498246,"6,01,813","6,43,803",/yr
4.1,Tradeindia.com - Infocom Network,320622,"3,85,945","4,15,609",/yr
4.1,Evolent Health,1288264,"15,46,811","16,73,849",/yr
4.1,Acalvio,2030390,"24,26,367","26,49,609",/yr
4.1,Bert Labs,440751,"4,10,548","6,91,330",/yr
4.1,Directi,1288576,"15,39,276","16,82,164",/yr
4.1,Anaplan,340309,"4,09,490","4,41,282",/yr
4.1,Digital Trainee,1687881,"20,10,723","22,08,979",/yr
4.1,VertexOne,175853,"2,11,587","2,28,046",/yr
4.1,ABC Consultants,3549026,"42,61,001","46,11,564",/yr
4.1,Siemens Digital Industries Software,753870,"9,01,059","9,83,617",/yr
4.1,Wesmarty InfoTech,666734,"7,99,679","8,67,156",/yr
4.1,Electronic Arts,775143,"9,23,568","10,14,289",/yr
4.1,Zillion Technologies,6834952,"82,32,420","88,54,960",/yr
4.1,RingCentral,2455920,"29,43,698","31,96,102",/yr
4.1,Ameex,351983,"4,22,080","4,57,878",/yr
4.1,Himanshu Softtech,81612,"97,429","1,06,602",/yr
4.1,Sandvik,246357,"2,97,633","3,18,260",/yr
4.1,CogniTensor,657419,"7,92,992","8,50,555",/yr
4.1,Valorem Reply,1274508,"15,30,293","16,55,977",/yr
4.1,EY-Parthenon,1031528,"12,35,991","13,42,829",/yr
4.1,Digital Lync,307333,"3,69,382","3,98,950",/yr
4.1,Whirlpool Corporation,212438,"2,55,181","2,75,914",/yr
4.1,Scintel Technologies,1229688,"14,72,658","16,01,561",/yr
4.1,DRG Concepts,1221712,"14,70,957","15,83,324",/yr
4.1,Srinivas Group,238624,"2,85,756","3,10,803",/yr
4.1,Energy Exemplar,113677,"1,35,960","1,48,232",/yr
4.1,Redback,207475,"2,47,562","2,71,126",/yr
4.1,Lambdanets,934862,"11,22,986","12,14,170",/yr
4.1,Legato Technologies,1123405,"13,49,390","14,59,122",/yr
4.1,Abhishek Industries,1278069,"15,41,646","16,53,526",/yr
4.1,Turtlemint,1061003,"12,71,663","13,80,844",/yr
4.1,Diageo,1365589,"16,40,638","17,73,335",/yr
4.1,DocOn Technologies,1780697,"21,43,584","23,08,159",/yr
4.1,Simplify3x,591374,"7,11,177","7,67,259",/yr
4.1,Dexler Information Solutions,1406092,"16,89,860","18,25,370",/yr
4.1,Amgen,1698380,"20,39,481","22,06,469",/yr
4.1,TransUnion,2281930,"27,29,631","29,75,195",/yr
4.1,Volkswagen,4283173,"51,48,778","55,59,154",/yr
4.1,TEC Staffing Services,37442,"45,194","48,412",/yr
4.1,ToXSL Technologies,66189,"79,117","86,356",/yr
4.1,Ritwik IT Services,596852,"7,18,921","7,73,208",/yr
4.1,Govinda's,201962,"2,42,383","2,62,523",/yr
4.1,Khoros,644806,"7,72,315","8,39,700",/yr
4.1,Webi7,64182,"76,972","83,482",/yr
4.1,Qualcomm,106588,"1,29,132","1,37,339",/yr
4.1,Datamanager,16579,"19,952","21,495",/yr
4.1,dataZen Engineering,12858,"15,430","16,714",/yr
4.1,Nhai,67970,"82,299","87,625",/yr
4.1,VAMA Industries,41722,"50,384","53,921",/yr
4.1,CanGo Networks,42250,"50,630","54,994",/yr
4.1,The North Face,57878,"69,068","75,627",/yr
4.1,Airbus,71239,"85,667","92,431",/yr
4.1,Abrakadoodle,68144,"82,194","88,167",/yr
4.1,Roton Consultancies Private Limited,12542,"15,092","16,262",/yr
4.1,Techdata Solutions,16008,"19,363","20,658",/yr
4.1,OnlyGroup Healthcare,42497,"50,811","55,432",/yr
4.1,Head Field,32089,"38,764","41,458",/yr
4.1,Edubridge Learning,25106,"29,925","32,839",/yr
4.1,Artech L.L.C.,86476,"1,04,355","1,11,834",/yr
4.1,Naveen Engineering,8604,"10,273","11,237",/yr
4.1,Cozentus Technologies,6425,"7,717","8,345",/yr
4.1,Robert Bosch Engineering and Business Solutions,11972,"14,480","15,451",/yr
4.1,Primus Global Services,8723,"10,436","11,371",/yr
4.1,Yoshops,31928,"38,346","41,474",/yr
4.1,Toptal,1232,"1,467","1,612",/yr
4.1,Reliance Insurance Agencies,665154,"7,96,519","8,66,367",/yr
4.1,Software Developer India,834,997,"1,089",/yr
4.1,BrightChamps,200,240,261,/yr
4.1,Ong & Shan,159,10,387,/yr
4.1,Vishwakarma Institute of Technology,508,168,"1,103",/yr
4.1,DataMites,442481,"3,08,029","7,98,173",/yr
4.1,Navi Technologies,1000051,"12,02,796","12,97,332",/yr
4.1,Expedia Group,744503,"8,87,364","9,73,894",/yr
4.1,BMC Software,46602,"48,144","68,362",/yr
4.1,Human Network,49071,"32,157","90,521",/yr
4.1,Infogain,31110,"35,288","42,488",/yr
4.1,Indian Institute of Technology Mandi,21400,"12,504","40,996",/yr
4.1,RisingRoot Technologies,10969,"9,925","17,497",/yr
4.1,Lead School (India),91052,"77,752","1,49,879",/yr
4.1,DataRobot,35523,"42,877","45,930",/yr
4.1,Shine,637970,"7,65,866","8,29,060",/yr
4.1,Solytics Partners,489093,"5,86,678","6,36,055",/yr
4.1,TEKsystems,666001,"4,35,867","12,29,136",/yr
4.1,Fragma Data Systems,637906,"5,01,058","10,93,707",/yr
4.1,eBay,1575062,"15,04,745","24,32,910",/yr
4.1,Jarvis Technology & Strategy Consulting,994092,"11,35,012","13,50,217",/yr
4.1,Tekion,1047449,"4,86,640","21,31,983",/yr
4.1,Exponentia,563840,"4,79,180","9,30,420",/yr
4.1,TurningCloud Solutions,348454,"4,00,013","4,71,123",/yr
4.1,Prudent Technologies & Consulting,316626,"1,50,168","6,41,398",/yr
4.1,John Deere,1249233,"5,13,657","26,09,425",/yr
4.1,Metacube Software Pvt. Ltd.,822474,"7,96,581","12,59,604",/yr
4.1,SalesKen,871970,"8,29,796","13,50,128",/yr
4.1,Ankaha,630259,"7,16,243","8,59,404",/yr
4.1,ASDF Web Hosting,1100549,"5,79,256","21,72,116",/yr
4.1,Capgemini Invent,943587,"9,66,060","13,92,908",/yr
4.1,SIRPI Visualize and Decide,240601,"2,88,399","3,13,104",/yr
4.1,Falabella,783979,"2,39,486","17,20,461",/yr
4.1,Kimberly-Clark,847779,"5,35,287","15,84,161",/yr
4.1,Maropost,353661,"3,11,031","5,73,122",/yr
4.1,VINAYA KUMAR,2040961,"7,88,801","43,13,601",/yr
4.1,Numerify,2105002,"22,49,600","30,12,906",/yr
4.1,Accentue,1122879,"5,02,401","23,04,796",/yr
4.1,eKincare,537262,"6,37,331","7,05,823",/yr
4.1,SetuServ,4248764,"4,08,520","1,02,13,389",/yr
4.1,IHS Markit,856898,"5,28,516","16,13,728",/yr
4.1,Novozymes,1400448,"15,19,437","19,81,682",/yr
4.1,Commonwealth Bank of Australia,1663026,"15,54,539","26,03,025",/yr
4.1,Ford Motor Company,35890,"19,733","69,992",/yr
4.1,Capgemini Engineering,885909,"9,18,122","12,96,651",/yr
4.1,CarDekho,1120368,"11,47,181","16,53,740",/yr
4.1,Merck KGaA,692369,"7,18,336","10,12,586",/yr
4.1,Siemens Healthineers,1589070,"18,05,494","21,67,180",/yr
4.1,Accolite Digital,778250,"4,78,550","14,67,074",/yr
4.1,Siemens,61394,"40,819","1,12,666",/yr
4.1,IBM,440751,"4,10,548","6,91,330",/yr
4.1,Locobuzz,696178,"6,37,252","11,03,193",/yr
4.1,Startup,858249,"9,82,235","11,63,387",/yr
4.1,EMPLOYERS,49557,"16,208","1,07,684",/yr
4.1,General Mills,1460684,"10,51,353","26,00,358",/yr
4.1,Accenture,276061,"1,21,772","5,68,381",/yr
4.1,IBM,37590,"28,579","65,395",/yr
4.1,InViz AI Solutions,79,95,102,/yr
4.1,Startup,241374,"2,90,268","3,13,167",/yr
4.1,DONE by NONE,249825,"2,99,395","3,25,167",/yr
4.1,IBM,40891,"48,987","53,241",/yr
4.1,Persistent Systems,1785,"2,137","2,326",/yr
4.1,DONE by NONE,440751,"4,10,548","6,91,330",/yr
4.1,Robert Bosch India,175762,"2,12,653","2,26,752",/yr
4.1,Capgemini Engineering,37162,"44,711","48,195",/yr
4.1,Capgemini Engineering,40509,"48,592","52,681",/yr
4.1,ANZ,8618,"10,352","11,194",/yr
4.1,Novartis,22035,"26,449","28,638",/yr
4.1,Great Learning,21096,"25,437","27,302",/yr
4.1,Siemens Healthineers,20950,"25,115","27,260",/yr
4.1,Shell,12156,"14,632","15,758",/yr
4.1,[24]7.ai,71238,"85,078","93,016",/yr
4.1,Fresher,409970,"4,96,009","5,28,917",/yr
4.1,Xoriant,443409,"5,32,486","5,76,036",/yr
4.1,Corteva Agriscience,2970887,"35,76,505","38,50,713",/yr
4.1,Fresher,333945,"4,00,807","4,34,056",/yr
4.1,Nokia,374701,"4,49,830","4,86,923",/yr
4.1,DONE by NONE,427289,"5,11,989","5,56,233",/yr
4.1,Arya.ai,440751,"4,10,548","6,91,330",/yr
4.1,Great Learning,801624,"9,67,840","10,36,220",/yr
4.1,DONE by NONE,3692672,"44,10,060","48,21,621",/yr
4.1,EMPLOYERS,852654,"10,29,010","11,02,624",/yr
4.1,Other,523063,"2,39,899","10,67,758",/yr
4.1,Coforge,1800000,"15,00,000","30,00,000",/yr
4.1,Mahindra,716707,"1,11,464","16,80,303",/yr
4.1,GE Healthcare,1016184,"7,90,143","17,50,316",/yr
4.1,Arya.ai,587036,"5,33,108","9,34,483",/yr
4.1,ANZ,1545252,"13,16,904","25,46,225",/yr
4.1,Analytics Vidhya,894469,"8,06,875","14,29,297",/yr
4.1,Tata,1160789,"6,67,227","22,34,746",/yr
4.1,Indium Software,1188064,"5,12,097","24,58,064",/yr
4.1,Persistent Systems,1003947,"8,69,868","16,40,000",/yr
4.1,Kaleidofin,845717,"8,32,982","12,81,310",/yr
4.1,Tata Steel,1205040,"6,99,988","23,12,613",/yr
4.1,Xoriant,1458314,"10,50,000","25,95,786",/yr
4.1,Unilever,1319952,"10,51,965","22,47,916",/yr
4.1,Accenture,362079,"1,05,197","8,00,000",/yr
4.1,Accenture,591859,"3,69,005","11,10,642",/yr
4.1,InViz AI Solutions,618806,"7,16,362","8,30,652",/yr
4.1,Internshala,291852,"1,02,419","6,27,211",/yr
4.1,Dailyhunt,1537034,"10,65,980","27,76,606",/yr
4.1,Dream11,1522040,"14,72,751","23,32,349",/yr
4.1,Neustar,1545380,"17,61,551","21,01,900",/yr
4.1,Razorpay,1181866,"11,44,931","18,09,734",/yr
4.1,United Airlines,1985298,"19,30,523","30,32,722",/yr
4.1,Tesco Bengaluru,1152942,"2,76,000","26,06,356",/yr
4.1,Gyan Data,549042,"5,12,507","8,60,097",/yr
4.1,Tietoevry,1390379,"8,16,814","26,59,133",/yr
4.1,Scry Analytics,1282620,"6,06,549","26,00,000",/yr
4.1,The Smart Cube,832128,"9,00,000","11,80,320",/yr
4.1,S&P Global,921323,"9,32,732","13,70,575",/yr
4.1,Manthan,1325843,"10,79,861","22,34,746",/yr
4.1,SM NetServ Technologies,498182,"5,93,091","6,52,363",/yr
4.1,Zopper,1955862,"23,61,219","25,28,436",/yr
4.1,Way2News,266173,"3,18,679","3,46,754",/yr
4.1,SquadStack,857586,"10,32,115","11,11,851",/yr
4.1,Evoke Technologies,1117029,"13,49,537","14,43,036",/yr
4.1,Safe Security,818015,"9,76,722","10,68,315",/yr
4.1,Syniti,565584,"6,77,540","7,36,421",/yr
4.1,Monster Com India,744144,"8,93,284","9,67,076",/yr
4.1,BidMath,852348,"10,23,090","11,07,779",/yr
4.1,Levi Strauss,391539,"4,71,676","5,07,172",/yr
4.1,Spottabl,267980,"3,22,867","3,47,083",/yr
4.1,G2,1333257,"15,90,429","17,42,714",/yr
4.1,Pristine Infotech,1028297,"12,25,679","13,45,063",/yr
4.1,Licious,1049459,"12,60,948","13,62,699",/yr
4.1,AAP,266482,"3,18,559","3,47,647",/yr
4.1,Bridgetree,803108,"9,65,210","10,42,560",/yr
4.1,Cummins,418296,"5,02,934","5,42,805",/yr
4.1,DasDas,3719145,"44,42,259","48,55,603",/yr
4.1,Verdis,1535470,"18,39,797","19,98,879",/yr
4.1,ProArch,326986,"3,91,790","4,25,674",/yr
4.1,World Health Organization,94993,"1,14,140","1,23,342",/yr
4.1,CyberCoders,371511,"4,46,013","4,82,765",/yr
4.1,MSD,995731,"11,99,094","12,90,234",/yr
4.1,Wittybrains Software Technologies,721652,"8,67,681","9,36,450",/yr
4.1,Optus Research & Analytics,399083,"4,74,759","5,22,949",/yr
4.1,Holcim,1471001,"17,73,533","19,03,970",/yr
4.1,Hilabs,1611417,"19,40,896","20,87,646",/yr
4.1,RedTech,162603,"1,95,442","2,11,065",/yr
4.1,BlazeClan Technologies,722617,"8,71,164","9,35,379",/yr
4.1,IISER,40659,"48,436","53,211",/yr
4.1,In Time Tec,31251,"37,504","40,623",/yr
4.1,Student Beans,41811,"50,082","54,446",/yr
4.1,Nextgen Innovation Labs,32611,"38,945","42,582",/yr
4.1,Indian Institute of Information Technology and Management-Kerala,8674,"10,386","11,300",/yr
4.1,Pantech Solutions,20449,"24,501","26,621",/yr
4.1,Rohit Industries Group,20085,"24,038","26,175",/yr
4.1,Sanu,34437,"41,244","44,848",/yr
4.1,Precifab Technologies,30285,"36,221","39,491",/yr
4.1,Automation Engineering,24596,"29,710","31,781",/yr
4.1,Vyasaka Technologies,16022,"19,260","20,794",/yr
4.1,DataScience.com,83183,"99,578","1,08,380",/yr
4.1,UNIQ Technologies,31536,"38,047","40,792",/yr
4.1,Upwork,13074,"15,764","16,922",/yr
4.1,IceCream Labs,20926,"24,958","27,357",/yr
4.1,Aspec Scire,17735,"21,172","23,165",/yr
4.1,Priyanka,480329,"5,77,518","6,23,304",/yr
4.1,Excelsior (India),558810,"6,66,911","7,30,114",/yr
4.1,Rubrik,477720,"5,72,280","6,22,020",/yr
4.1,IBM,27071,"32,557","35,121",/yr
4.1,Mahindra,25840,"31,055","33,544",/yr
4.1,Sigmoid,813769,"9,79,533","10,54,889",/yr
4.1,Internshala,1011693,"12,14,691","13,14,541",/yr
4.1,Unilever,27934,"33,682","36,153",/yr
4.1,Fractal,801624,"9,67,840","10,36,220",/yr
4.1,Ford Motor Company,84528,"1,01,459","1,09,860",/yr
4.1,Virtual Employee,35466,"42,333","46,331",/yr
4.1,Startup,20546,"24,653","26,712",/yr
4.1,Coforge,49998,"59,963","65,032",/yr
4.1,Navi Technologies,1608800,"19,22,800","20,99,200",/yr
4.1,IBM,416842,"4,96,631","5,45,474",/yr
4.1,Nothing Something,413110,"4,95,224","5,37,550",/yr
4.1,"Government of India, Department of Space, Indian Space Research Organisation",84306,"1,01,095","1,09,671",/yr
4.1,Sigmoid,997499,"12,06,012","12,87,736",/yr
4.1,DONE by NONE,855969,"10,22,573","11,17,349",/yr
4.1,GainInsights Solutions,819482,"9,87,363","10,61,341",/yr
4.1,Expedia Group,2129076,"25,40,382","27,82,307",/yr
4.1,Other,88514,"1,06,759","1,14,527",/yr
4.1,Odessa,423473,"5,09,235","5,49,447",/yr
4.1,Accolite Digital,16653,"19,355","22,277",/yr
4.1,EMPLOYERS,24131,"16,087","44,241",/yr
4.1,Nokia,28499,"31,113","40,135",/yr
4.1,Accenture,798023,"1,82,892","18,12,165",/yr
4.1,Accenture,1595009,"15,28,646","24,58,876",/yr
4.1,Accenture,2800864,"26,23,481","43,78,678",/yr
4.1,Fractal,1696125,"13,21,194","29,19,118",/yr
4.1,IBM,3104510,"15,31,389","62,29,887",/yr
4.1,Accenture,1078530,"6,96,326","20,00,000",/yr
4.1,Coforge,934587,"7,20,000","16,16,467",/yr
4.1,Sigmoid,560097,"1,20,000","12,80,242",/yr
4.1,Shell,800916,"5,83,439","14,18,850",/yr
4.1,Novartis,563717,"2,05,524","12,03,769",/yr
4.1,Accenture,905937,"7,29,780","15,35,062",/yr
4.1,Incedo,1213552,"8,75,158","21,58,723",/yr
4.1,IHS Markit,1284754,"10,62,799","21,49,086",/yr
4.1,Sigmoid,1790846,"12,79,175","31,97,939",/yr
4.1,Novartis,1864900,"17,81,520","28,80,729",/yr
4.1,Myntra,2206775,"25,62,534","29,54,404",/yr
4.1,Accenture,791772,"2,43,855","17,35,575",/yr
4.1,Fresher,457873,"5,19,157","6,25,525",/yr
4.1,Accenture,2025764,"17,77,028","32,87,383",/yr
4.1,Intas Pharmaceuticals,468783,"2,25,189","9,46,769",/yr
4.1,Accenture,6400644,"12,74,101","1,47,27,510",/yr
4.1,IBM,1539394,"10,21,959","28,26,526",/yr
4.1,Shell,1037014,"10,00,000","15,92,535",/yr
4.1,GE Healthcare,1913132,"20,76,629","27,06,201",/yr
4.1,Ford Motor Company,1250278,"12,45,977","18,79,719",/yr
4.1,Kanini,425441,"4,00,000","6,63,602",/yr
4.1,Accenture,631317,"4,54,107","11,24,186",/yr
4.1,Unilever,1169496,"10,40,847","18,82,893",/yr
4.1,Novartis,660786,"6,00,000","10,51,965",/yr
4.1,Accenture,768000,"2,00,000","17,20,000",/yr
,z-score.ai,397048,"4,73,706","5,18,915",/yr
,Demos,392756,"4,75,496","5,06,393",/yr
,MentorrBuddy,409427,"4,86,901","5,36,667",/yr
,Beatroot Technologies,448111,"5,38,121","5,82,157",/yr
,hjgjgk,409141,"4,91,511","5,31,341",/yr
,Shssns,418074,"4,98,189","5,46,996",/yr
,Sai Krishna pallepamula,402116,"4,80,450","5,24,840",/yr
,Yushu,798172,"9,52,140","10,43,290",/yr
,Ankit Thakur,798900,"9,61,640","10,35,610",/yr
,Vamsi Pharma,832303,"9,99,152","10,81,606",/yr
,Asterii analytics,857728,"10,28,240","11,16,080",/yr
,Human Resources and Skills ent Canada,833073,"10,08,653","10,74,029",/yr
,BiP Solutions,522809,"6,26,457","6,80,566",/yr
,Vishal Kathar,504284,"6,00,478","6,60,232",/yr
,VISHU,487970,"5,88,265","6,31,659",/yr
,Ispeck Digital Solutions Pvt.Ltd,484409,"5,81,560","6,29,463",/yr
,Datalogixs Technologies,495107,"5,97,105","6,40,662",/yr
,Agastya Automotives,470288,"5,64,238","6,11,482",/yr
,FlixDrop Technology,533196,"6,35,022","6,97,967",/yr
,Wiinfo Solutions,504752,"6,00,523","6,61,356",/yr
,Ankit R Jain & Associates,492986,"5,91,349","6,41,115",/yr
,Pandu singh,536703,"6,42,993","6,98,765",/yr
,Safehur,356468,"4,28,686","4,62,485",/yr
,Phillips healthcare,978289,"11,73,438","12,72,284",/yr
,Assistant Professor,713038,"8,51,419","9,31,177",/yr
,Data scientist,290321,"3,48,227","3,77,575",/yr
,Propellor,624643,"7,48,878","8,12,730",/yr
,Na,245259,"2,96,003","3,17,144",/yr
,HWI,1398019,"16,74,947","18,20,101",/yr
,nbjb,173414,"2,08,166","2,25,368",/yr
,ravi kishore,200231,"2,40,510","2,60,068",/yr
,Mantle Labs,1201644,"14,33,970","15,70,140",/yr
,Sri ram Analytics,686953,"8,23,542","8,93,840",/yr
,Neha Bhakat,574246,"6,95,895","7,39,721",/yr
,Elasto Tech Industries,731058,"8,79,065","9,48,580",/yr
,no,333620,"4,00,039","4,34,012",/yr
,Grosta Services,640084,"7,64,923","8,35,286",/yr
,Artigiani Technologies,594066,"7,06,472","7,78,693",/yr
,AAP,267306,"3,21,867","3,46,397",/yr
,Peninsular Research Operation,1193040,"14,35,635","15,46,965",/yr
