Rating,Company,Average,Lowest,Highest,yr/mo/hr
4.2,Noodle.ai,1727854,"13,63,658","30,62,567",/yr
3.9,Quantiphi,985263,"7,28,593","16,64,420",/yr
3.8,HDFC Standard Life Insurance,1236059,"7,00,126","28,27,709",/yr
4,Michelin,1188978,"6,29,415","16,01,637",/yr
4,R Systems,1850016,"8,56,349","32,27,501",/yr
1,Xalt Analytics,537369,"2,69,525","9,18,834",/yr
3.7,Mphasis,856165,"4,87,711","14,24,613",/yr
4,ITC Infotech,493587,"4,24,624","10,61,664",/yr
4,Decision Point,1073877,"6,46,587","15,16,361",/yr
4,Vodafone,975655,"5,11,687","26,41,768",/yr
4.5,LinkedIn,2004634,"3,00,000","26,94,111",/yr
4.8,TuringMinds.Ai,500000,"1,80,000","5,08,032",/yr
3.3,Claim Genius,1409550,"6,65,120","26,48,074",/yr
4.1,LatentView Analytics,780397,"2,45,175","19,68,964",/yr
4.1,Robert Bosch India,1079474,"4,77,702","14,00,000",/yr
4.2,Times Internet,2900253,"13,32,517","37,25,876",/yr
4.3,American Express,1756642,"12,79,175","22,40,678",/yr
3.7,ICICI Bank,1027344,"2,21,846","16,64,420",/yr
3.8,SG Analytics,847552,"6,82,362","10,18,490",/yr
3.6,KPIT Technologies,1000000,"4,80,000","22,35,342",/yr
4,TCS,880000,"5,11,687","63,95,877",/yr
4.5,Innodatatics,860322,"2,43,855","12,49,016",/yr
3.9,Sutherland,854206,"3,58,181","14,86,184",/yr
4.1,EMPLOYERS,612556,"2,04,839","37,37,932",/yr
4.1,Incedo,1535062,"5,70,206","20,00,000",/yr
4,Applied Materials,1637399,"5,41,558","1,92,19,642",/yr
4.4,Gojek,2441091,"20,50,027","71,69,353",/yr
4.3,CRED,3127627,"22,40,678","46,00,000",/yr
4,Caterpillar,1266930,"5,33,108","40,00,000",/yr
3.9,TheMathCompany,615008,"4,69,144","11,00,000",/yr
3.9,Idexcel,537917,"4,41,825","14,53,640",/yr
3.9,Eaton,1219277,"10,50,190","15,52,560",/yr
4,Gartner,1819127,"1,71,270","55,53,211",/yr
4.2,MakeMyTrip,1332771,"6,31,179","32,92,262",/yr
3.1,Karvy Group,665583,"4,65,768","14,70,032",/yr
3.8,Tableau Software,666385,"5,10,463","53,07,799",/yr
4.2,MAERSK,2289863,"15,31,283","26,76,090",/yr
4.1,Nokia,1726765,"10,73,191","84,76,624",/yr
4,KPMG,849248,"5,11,687","25,00,000",/yr
3.9,Zee Entertainment Enterprises Ltd.,1828916,"10,51,964","36,48,898",/yr
3.9,Schlumberger,2123120,"10,51,965","33,09,144",/yr
3.9,CARS24.com,1132855,"9,04,867","15,73,861",/yr
4.4,GlobusSoft,349724,"2,58,200","5,83,824",/yr
3.8,Vodafone Idea,1968026,"5,55,321","25,62,534",/yr
4.6,iNeuron,408371,"20,484","31,97,939",/yr
4.1,Fresher,473194,"62,451","8,34,034",/yr
4.5,Google,900561,"2,03,698","21,66,230",/yr
4.5,Innodatatics,124598,"1,00,010","6,25,525",/yr
3.9,Tata Consultancy Services,24085,"3,417","1,59,625",/mo
4,Nones,65958,"10,209","1,21,137",/mo
4.4,Microsoft,84296,"46,126","1,03,831",/mo
4.1,Accenture,40000,"10,000","1,56,381",/mo
3.9,The Sparks Foundation,24029,"5,553","69,503",/mo
4.1,IBM,42739,"5,388","1,40,523",/mo
4.8,Maxgen Technologies,18718,"15,000","20,000",/mo
4.1,DONE by NONE,20817,"1,052","1,80,519",/mo
4.5,Webtunix,59171,"16,473","1,39,858",/mo
4,First Student,41533,"10,234","98,205",/mo
4.6,Blackcoffer,6096,"5,213","10,383",/mo
4.1,FlyNava Technologies,42640,"22,213","64,787",/mo
3.9,Alphabet (GB),408328,"4,89,585","5,31,234",/yr
3.9,Poornima University,397498,"4,78,220","5,15,525",/yr
3.9,Shiva,416349,"5,00,793","5,40,080",/yr
3.9,DJ Alexander,397464,"4,78,580","5,15,080",/yr
3.9,Aon,449043,"5,39,404","5,83,204",/yr
3.9,HH Fremer Architects,396180,"4,75,325","5,15,125",/yr
3.9,ABC do ABC,424040,"5,06,751","5,53,350",/yr
3.9,Equifax,862288,"10,34,427","11,21,293",/yr
3.9,Fresher Zones,846433,"10,11,720","11,04,362",/yr
3.9,Priyank,800548,"9,52,780","10,48,590",/yr
3.9,Cepheid,799626,"9,55,167","10,43,899",/yr
3.9,T-Mobile,847273,"10,11,072","11,07,111",/yr
3.9,BI-LO,812994,"9,72,201","10,60,284",/yr
3.9,Techstar Consulting,858186,"10,22,652","11,22,813",/yr
3.9,Pasarpolis,805190,"9,62,441","10,50,535",/yr
3.9,Suraj School,505567,"6,02,852","6,61,065",/yr
3.9,Advisory Board,481649,"5,74,206","6,29,916",/yr
3.9,ValueMomentum,500396,"6,02,969","6,48,021",/yr
3.9,Kumaraguru College of Technology,499532,"5,96,430","6,52,399",/yr
3.9,NextGen Healthcare,647737,"7,74,753","8,44,589",/yr
3.9,TVS Emerald,1111609,"13,42,406","14,36,617",/yr
3.9,IBM Interactive Experience,669799,"8,05,451","8,69,046",/yr
3.9,Tata Capital,956752,"11,37,530","12,54,351",/yr
3.9,The City Bank,4162083,"50,19,523","53,85,685",/yr
3.9,Atkins,1304071,"15,79,132","16,81,046",/yr
3.9,DataFactZ,280830,"3,36,063","3,66,011",/yr
3.9,New York Times,3742343,"45,21,422","48,34,435",/yr
3.9,Nayara Energy,878007,"10,52,194","11,42,823",/yr
3.9,Amnet Group,687580,"8,22,892","8,96,057",/yr
3.9,CDS (Club Demonstration Services),1769055,"21,13,166","23,09,472",/yr
3.9,Vickerstock,81736,"97,895","1,06,445",/yr
3.9,Mindtree Consultants,751530,"8,96,464","9,82,361",/yr
3.9,myGate,1112600,"13,27,728","14,53,772",/yr
3.9,Glorious Insight,1111470,"13,35,799","14,42,876",/yr
3.9,Chirag,295574,"3,52,328","3,86,607",/yr
3.9,Maveric Systems,641130,"7,68,864","8,33,960",/yr
3.9,Indecomm Global Services,1240412,"14,88,132","16,12,897",/yr
3.9,Translational Health Science and Technology Institute,780163,"9,27,793","10,22,615",/yr
3.9,Aggregate Intelligence,253128,"3,03,783","3,29,037",/yr
3.9,Ameriprise,603190,"7,22,430","7,85,545",/yr
3.9,DuPont,1350912,"16,19,521","17,57,758",/yr
3.9,Vinod,326188,"3,92,689","4,22,782",/yr
3.9,Hexagon,767480,"9,25,032","9,93,668",/yr
3.9,Bath & Body Works,2925678,"35,13,418","38,00,776",/yr
3.9,NatWest Group,2067643,"24,66,480","27,02,627",/yr
3.9,Softtronix IT Solution,155117,"1,86,289","2,01,504",/yr
3.9,Netcracker Technology,1495754,"17,95,997","19,43,388",/yr
3.9,Fellowship.AI,2601406,"31,19,864","33,83,650",/yr
3.9,Moody's Investors Service,1024598,"12,39,422","13,22,072",/yr
3.9,WheelsEye Technology,2372895,"28,65,915","30,66,323",/yr
